iter	Passed	Remaining
569	210522	3482849
570	210873	3482179
571	211222	3481475
572	211574	3480824
573	211968	3480869
574	212365	3480947
575	212721	3480358
576	213061	3479509
577	213410	3478819
578	213769	3478276
579	214108	3477422
580	214473	3476974
581	214866	3477005
582	215220	3476379
583	215579	3475843
584	215992	3476188
585	216367	3475916
586	216765	3476003
587	217163	3476092
588	217565	3476245
589	217993	3476816
590	218401	3477047
591	218810	3477315
592	219190	3477107
593	219629	3477839
594	220043	3478159
595	220416	3477849
596	220819	3477996
597	221186	3477580
598	221576	3477527
599	221951	3477240
600	222304	3476610
601	222667	3476121
602	223034	3475717
603	223445	3475990
604	223849	3476149
605	224280	3476725
606	224705	3477198
607	225147	3477937
608	225548	3478042
609	225903	3477436
610	226295	3477402
611	226692	3477430
612	227060	3477018
613	227435	3476722
614	227872	3477378
615	228268	3477381
616	228678	3477614
617	229098	3477995
618	229477	3477756
619	230044	3480348
620	230440	3480351
621	230858	3480688
622	231285	3481157
623	231681	3481165
624	232121	3481821
625	232591	3482927
626	233016	3483355
627	233422	3483499
628	233811	3483381
629	234171	3482840
630	234539	3482416
631	235012	3483534
632	235452	3484181
633	235866	3484424
634	236293	3484862
635	236688	3484832
636	237071	3484608
637	237454	3484399
638	237884	3484881
639	238284	3484905
640	238676	3484822
641	239069	3484756
642	239428	3484183
643	239817	3484057
644	240207	3483940
645	240648	3484554
646	241030	3484324
647	241477	3485032
648	241842	3484538
649	242218	3484217
650	242617	3484225
651	243023	3484332
652	243424	3484355
653	243793	3483935
654	244148	3483311
655	244502	3482664
656	244861	3482108
657	245259	3482091
658	245679	3482392
659	246028	3481678
660	246402	3481324
661	246761	3480751
662	247098	3479884
663	247452	3479235
664	247835	3479019
665	248209	3478661
666	248566	3478061
667	248917	3477393
668	249266	3476684
669	249666	3476699
670	250215	3478781
671	250639	3479119
672	251004	3478636
673	251360	3478028
674	251703	3477240
675	252069	3476762
676	252445	3476442
677	252861	3476654
678	253244	3476428
679	253624	3476144
680	253987	3475637
681	254326	3474796
682	254696	3474395
683	255065	3473965
684	255457	3473843
685	255849	3473731
686	256218	3473305
687	256609	3473178
688	257004	3473105
689	257372	3472657
690	257718	3471925
691	258062	3471167
692	258432	3470745
693	258809	3470434
694	259149	3469620
695	259529	3469347
696	259880	3468671
697	260235	3468060
698	260588	3467432
699	260958	3467013
700	261314	3466427
701	261724	3466544
702	262106	3466291
703	262442	3465436
704	262785	3464665
705	263128	3463903
706	263481	3463269
707	263828	3462564
708	264217	3462407
709	264568	3461743
710	264924	3461154
711	265276	3460519
712	265631	3459919
713	265989	3459348
714	266319	3458425
715	266709	3458277
716	267064	3457690
717	267416	3457050
718	267757	3456263
719	268106	3455600
720	268442	3454757
721	268792	3454101
722	269180	3453925
723	269536	3453347
724	269870	3452477
725	270203	3451613
726	270557	3451000
727	270910	3450388
728	271291	3450125
729	271646	3449532
730	271984	3448739
731	272339	3448142
732	272666	3447204
733	273008	3446457
734	273339	3445568
735	273740	3445560
736	274118	3445262
737	274473	3444677
738	274855	3444428
739	275237	3444188
740	275623	3443985
741	276018	3443909
742	276372	3443309
743	276734	3442819
744	277100	3442375
745	277460	3441851
746	277866	3441900
747	278336	3442733
748	278690	3442148
749	279058	3441723
750	279427	3441308
751	279825	3441254
752	280195	3440855
753	280579	3440635
754	280968	3440474
755	281322	3439877
756	281695	3439518
757	282053	3438963
758	282423	3438568
759	282829	3438616
760	283218	3438447
761	283600	3438192
762	283961	3437680
763	284347	3437477
764	284714	3437043
765	285217	3438244
766	285623	3438277
767	286019	3438198
768	286426	3438230
769	286807	3437961
770	287256	3438509
771	287707	3439072
772	288124	3439232
773	288490	3438772
774	288915	3439027
775	289304	3438848
776	289722	3439012
777	290192	3439787
778	290611	3439964
779	290986	3439609
780	291395	3439659
781	291825	3439953
782	292225	3439902
783	292613	3439702
784	293001	3439499
785	293376	3439152
786	293765	3438956
787	294146	3438673
788	294514	3438247
789	295003	3439221
790	295357	3438615
791	295690	3437778
792	296035	3437073
793	296379	3436356
794	296755	3436022
795	297124	3435596
796	297516	3435443
797	297959	3435864
